id,questionName,questionURL,acceptancePercentage,difficultyLevel,questionTags
1,Two Sum,https://leetcode.com/problems/two-sum/,49.1%,Easy,"Array, Hash Table"
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,39.7%,Medium,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,33.8%,Medium,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,35.2%,Hard,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,32.4%,Medium,"String, Dynamic Programming"
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,43.0%,Medium,String
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,27.2%,Medium,Math
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,16.6%,Medium,String
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,52.8%,Easy,Math
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,28.2%,Hard,"String, Dynamic Programming, Recursion"
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,54.3%,Medium,"Array, Two Pointers, Greedy"
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,61.4%,Medium,"Hash Table, Math, String"
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,58.2%,Easy,"Hash Table, Math, String"
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,40.7%,Easy,String
15,3Sum,https://leetcode.com/problems/3sum/,32.2%,Medium,"Array, Two Pointers, Sorting"
16,3Sum Closest,https://leetcode.com/problems/3sum-closest/,46.2%,Medium,"Array, Two Pointers, Sorting"
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,55.5%,Medium,"Hash Table, String, Backtracking"
18,4Sum,https://leetcode.com/problems/4sum/,36.5%,Medium,"Array, Two Pointers, Sorting"
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,39.9%,Medium,"Linked List, Two Pointers"
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,40.7%,Easy,"String, Stack"
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,61.8%,Easy,"Linked List, Recursion"
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,71.8%,Medium,"String, Dynamic Programming, Backtracking"
